Observation id	video_0036

Media file(s)

Player #1	clips_mp4/video_0036.mp4

Observation date	2016-05-07 18:19:51

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	street
weather	snow
road conditions	wet							

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.190	clips_mp4/video_0036.mp4	10.01	29.97	Driver	moving fast			START
0.200	clips_mp4/video_0036.mp4	10.01	29.97	car	stopped			START
1.933	clips_mp4/video_0036.mp4	10.01	29.97	car	flasher signal			START
4.126	clips_mp4/video_0036.mp4	10.01	29.97	Driver	moving fast			STOP
4.127	clips_mp4/video_0036.mp4	10.01	29.97	Driver	slow down			START
5.449	clips_mp4/video_0036.mp4	10.01	29.97	car	stopped			STOP
5.450	clips_mp4/video_0036.mp4	10.01	29.97	car	crossing			START
6.222	clips_mp4/video_0036.mp4	10.01	29.97	car	flasher signal			STOP
9.578	clips_mp4/video_0036.mp4	10.01	29.97	car	crossing			STOP
9.587	clips_mp4/video_0036.mp4	10.01	29.97	Driver	slow down			STOP
9.588	clips_mp4/video_0036.mp4	10.01	29.97	Driver	speed up			START
9.999	clips_mp4/video_0036.mp4	10.01	29.97	Driver	speed up			STOP
