Observation id	video_0153

Media file(s)

Player #1	clips_mp4/video_0153.mp4

Observation date	2016-05-15 20:17:10

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	street
weather	cloudy
road conditions	wet							

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.015	clips_mp4/video_0153.mp4	11.0	30.0	Driver	moving fast			START
0.026	clips_mp4/video_0153.mp4	11.0	30.0	car	stopped			START
0.037	clips_mp4/video_0153.mp4	11.0	30.0	car	flasher signal			START
0.685	clips_mp4/video_0153.mp4	11.0	30.0	Driver	moving fast			STOP
0.686	clips_mp4/video_0153.mp4	11.0	30.0	Driver	slow down			START
3.284	clips_mp4/video_0153.mp4	11.0	30.0	car	stopped			STOP
3.285	clips_mp4/video_0153.mp4	11.0	30.0	car	moving slow			START
5.893	clips_mp4/video_0153.mp4	11.0	30.0	Driver	slow down			STOP
5.894	clips_mp4/video_0153.mp4	11.0	30.0	Driver	speed up			START
6.290	clips_mp4/video_0153.mp4	11.0	30.0	car	moving slow			STOP
6.291	clips_mp4/video_0153.mp4	11.0	30.0	car	speed up			START
9.176	clips_mp4/video_0153.mp4	11.0	30.0	car	flasher signal			STOP
10.977	clips_mp4/video_0153.mp4	11.0	30.0	Driver	speed up			STOP
10.988	clips_mp4/video_0153.mp4	11.0	30.0	car	speed up			STOP
