Observation id	video_0172

Media file(s)

Player #1	clips_mp4/video_0172.mp4

Observation date	2016-05-16 11:06:50

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	plaza
weather	cloudy
road conditions	wet

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.000	clips_mp4/video_0172.mp4	6.0	30.0	Driver	moving slow			START
0.033	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	STANDING			START
0.033	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	STANDING			START
0.667	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian3	STANDING			START
0.600	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	looking			START
0.866	clips_mp4/video_0172.mp4	6.0	30.0	Driver	moving slow			STOP
0.867	clips_mp4/video_0172.mp4	6.0	30.0	Driver	slow down			START
1.233	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	looking			START
1.333	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	looking			STOP
2.467	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	looking			STOP
2.533	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	 looking			START
2.900	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	 looking			STOP
2.902	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	STANDING			STOP
2.903	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	crossing			START
3.377	clips_mp4/video_0172.mp4	6.0	30.0	Driver	slow down			STOP
3.378	clips_mp4/video_0172.mp4	6.0	30.0	Driver	stopped			START
3.467	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	looking			START
4.026	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	STANDING			STOP
4.027	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	crossing			START
4.050	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian3	STANDING			STOP
4.051	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian3	crossing			START
4.100	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	looking			STOP
6.000	clips_mp4/video_0172.mp4	6.0	30.0	Driver	stopped			STOP
5.900	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	crossing			STOP
5.933	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	walking			START
6.000	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian1	walking			STOP
6.000	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian2	crossing			STOP
6.000	clips_mp4/video_0172.mp4	6.0	30.0	pedestrian3	crossing			STOP
