Observation id	video_0218

Media file(s)

Player #1	clips_mp4/video_0218.mp4

Observation date	2016-05-21 19:55:56

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	plaza
weather	rain
road conditions	wet

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.000	clips_mp4/video_0218.mp4	6.0	30.0	Driver	moving slow			START
2.267	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	walking			START
3.333	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	walking			STOP
3.367	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	crossing			START
2.400	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	 looking			START
2.600	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	 looking			STOP
3.744	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	speed up			START
5.067	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	speed up			STOP
5.067	clips_mp4/video_0218.mp4	6.0	30.0	pedestrian	crossing			STOP
6.000	clips_mp4/video_0218.mp4	6.0	30.0	Driver	moving slow			STOP
