Observation id	video_0277

Media file(s)

Player #1	clips_mp4/video_0277.mp4

Observation date	2016-05-22 18:44:26

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	street
weather	cloudy
road conditions	wet

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.000	clips_mp4/video_0277.mp4	11.0	30.0	Driver	moving fast			START
0.033	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	 walking			START
0.033	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	 walking			START
0.867	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	 walking			START
1.874	clips_mp4/video_0277.mp4	11.0	30.0	Driver	moving fast			STOP
1.875	clips_mp4/video_0277.mp4	11.0	30.0	Driver	slow down			START
2.400	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	looking			START
2.433	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	looking			START
2.667	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	 walking			STOP
2.668	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	 standing			START
2.777	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	 walking			STOP
2.778	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	slow down			START
3.087	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	looking			START
3.567	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	 walking			STOP
3.600	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	slow down			START
4.155	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	looking			STOP
4.130	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	 standing			STOP
4.133	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	walking			START
4.300	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	slow down			STOP
4.333	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	walking			START
4.567	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	looking			STOP
4.733	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	looking			STOP
5.167	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	walking			STOP
5.200	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	crossing			START
5.266	clips_mp4/video_0277.mp4	11.0	30.0	Driver	slow down			STOP
5.267	clips_mp4/video_0277.mp4	11.0	30.0	Driver	stopped			START
5.967	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	walking			STOP
6.000	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	crossing			START
6.867	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	looking			START
7.100	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	slow down			STOP
7.133	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	walking			START
7.600	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	looking			STOP
7.900	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	walking			STOP
7.933	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	crossing			START
8.200	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	speed up			START
10.633	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	crossing			STOP
10.633	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	crossing			STOP
10.667	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	walking			START
10.667	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	walking			START
10.700	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	speed up			STOP
11.000	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian3	walking			STOP
11.000	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian2	walking			STOP
11.000	clips_mp4/video_0277.mp4	11.0	30.0	pedestrian1	crossing			STOP
11.000	clips_mp4/video_0277.mp4	11.0	30.0	Driver	stopped			STOP
