Observation id	video_0344

Media file(s)

Player #1	clips_mp4/video_0344.mp4

Observation date	2016-05-22 21:06:34

Description

Time offset (s)	0.0

independent variables
variable	value
time_of_day	daytime
location	street
weather	clear
road conditions	snow

Time	Media file path	Media total length	FPS	Subject	Behavior	Comment	Status
0.000	clips_mp4/video_0344.mp4	3.0	30.0	Driver	moving slow			START
0.033	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian1	 standing			START
0.033	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian2	 standing			START
0.033	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian3	 standing			START
0.033	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian3	looking			START
0.831	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian1	looking			START
1.101	clips_mp4/video_0344.mp4	3.0	30.0	Driver	moving slow			STOP
1.102	clips_mp4/video_0344.mp4	3.0	30.0	Driver	slow down			START
2.300	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian3	looking			STOP
2.900	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian1	looking			STOP
2.933	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian3	 standing			STOP
3.000	clips_mp4/video_0344.mp4	3.0	30.0	Driver	slow down			STOP
3.000	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian1	 standing			STOP
3.000	clips_mp4/video_0344.mp4	3.0	30.0	pedestrian2	 standing			STOP
