#video_id, pedestrian_id, group size, motion direction, designated, signalized, gender, age, num lanes, traffic direction, intersection, crossing
video_0001, pedestrian1, 1, LONG, ND, n/a, female, senior, 2, TW, no, -1
video_0001, pedestrian2, 1, LONG, ND, n/a, female, adult, 2, TW, no, -1
video_0002, pedestrian1, 2, LAT, D, NS, male, adult, 2, TW, no, 1
video_0002, pedestrian2, 2, LAT, D, NS, female, adult, 2, TW, no, 1
video_0003, pedestrian, 1, LAT, ND, S, female, adult, 1, OW, yes, 1
video_0004, pedestrian, 1, LONG, ND, n/a, female, adult, 2, TW, yes, 0
video_0005, pedestrian1, 4, LONG, ND, n/a, male, adult, 2, TW, no, -1
video_0005, pedestrian2, 4, LONG, ND, n/a, n/a, child, 2, TW, no, -1
video_0005, pedestrian3, 4, LONG, ND, n/a, n/a, child, 2, TW, no, -1
video_0005, pedestrian4, 4, LONG, ND, n/a, n/a, child, 2, TW, no, -1
video_0005, pedestrian5, 2, LONG, ND, n/a, female, adult, 2, TW, no, -1
video_0005, pedestrian6, 2, LONG, ND, n/a, male, adult, 2, TW, no, -1
video_0006, pedestrian1, 3, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0006, pedestrian2, 3, LAT, ND, n/a, male, adult, 2, TW, yes, 1
video_0006, pedestrian3, 3, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0007, pedestrian, 1, n/a, ND, n/a, male, young, 2, TW, no, 0
video_0008, pedestrian, 1, LONG, ND, n/a, female, adult, 2, TW, no, 0
video_0009, pedestrian, 1, n/a, ND, n/a, male, senior, 5, TW, no, 0
video_0010, pedestrian, 1, n/a, ND, n/a, female, adult, 5, TW, no, 0
video_0011, pedestrian, 1, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0012, pedestrian, 1, LAT, ND, n/a, male, adult, 6, TW, no, 1
#video_0013, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
video_0014, pedestrian, 1, LAT, D, NS, female, senior, 2, TW, no, 1
#video_0015, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 2, n/a
video_0016, pedestrian1, 2, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0016, pedestrian2, 2, LAT, ND, n/a, female, adult, 2, TW, yes, 1
video_0017, pedestrian, 1, LONG, ND, n/a, female, adult, 2, TW, no, -1
#video_0018, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 4, n/a
#video_0019, n/a, n/a, n/a, n/a, n/a, n/a, n/a, 4, n/a
video_0020, pedestrian1, 1, n/a, ND, n/a, male, adult, 3, OW, no, 0
video_0020, pedestrian2, 1, LAT, ND, n/a, male, adult, 3, OW, no, 1
