#1-stop_sign 2-traffic_light 3-red_light 4-green_light 5-ped_sign 6-ped_crossing 7-parking_lot, 8-Garage
video_0001, 7;
video_0002, 8; 6:1-188;
video_0003, 1; 7;
video_0004, 7;
video_0005, 1: 1-30; 1: 90-240; 7;
video_0006, 7;
video_0007,
video_0008, 7;
video_0009,
video_0010,
video_0011, 7;
video_0012, 2;
video_0013, 8;
video_0014, 6;
video_0015, 1: 1-280; 6: 1-400;
video_0016, 7;
video_0017, 7;
video_0018,
video_0019,
video_0020,
video_0021, 7;
video_0022, 7;
video_0023, 5: 1-181; 6: 120-210
video_0024, 6: 112-186;
video_0025, 5: 30-181; 6: 42-197
video_0026, 5; 6;
video_0027, 6;
video_0028,
video_0029,
video_0030, 2; 3;
video_0031, 6; 7;
video_0032, 7;
video_0033,
video_0034,
video_0035,
video_0036,
video_0037,
video_0038,
video_0039, 2; 4:1-305; 6;
video_0040,
video_0041, 5: 1-200; 6: 1-310
video_0042, 7;
video_0043,
video_0044, 5; 6;
video_0045, 7;
video_0046, 6; 5;
video_0047, 7; 6;
video_0048, 7;
video_0049, 7; 1;
video_0050, 1: 1-200; 7;
video_0051, 7;
video_0052, 7;
video_0053,
video_0054,
video_0055, 7;
video_0056, 1:1-3;
video_0057, 5:1-237; 6;
video_0058,
video_0059, 7;
video_0060, 1:1-72;
video_0061,
video_0062,
video_0063,
video_0064,
video_0065,
video_0066,
video_0067, 5:1-30;
video_0068,
video_0069, 5; 6;
video_0070, 6:1-165;
video_0071, 1:1-31; 6;
video_0072, 6:1-190;
video_0073,
video_0074, 7;
video_0075,
video_0076, 5; 6;
video_0077, 7;
video_0078,
video_0079,
video_0080, 6;
video_0081,
video_0082, 6:1-155;
video_0083, 5; 6;
video_0084,
video_0085, 1:12-18; 5:12-14; 7;
video_0086,
video_0087, 6;
video_0088, 6;
video_0089, 6:1-285;
video_0090, 6;
video_0091, 1:1-22; 4:1-18; 7;
video_0092, 2:1-84; 4:1-81;
video_0093, 7;
video_0094,
video_0095, 6:1-210;
video_0096,
video_0097, 5:1-222; 6:1-210;
video_0098,
video_0099, 6;
video_0100, 6;
video_0101, 1:11-35; 5:11-16; 7;
video_0102, 6;
video_0103, 6:1-330;
video_0104,
